PlanName_Abbreviation,PlanCode,Product_Type,Payment_Freqeuncy,Life,Abbreviation,primaryInsured Rider/ Rider Name,Dependency_C,Dependency_O,Visibility,planWiseSumAssMin,planWiseSumAssMax,DBNAME,Remarks,TLR ,SINGLE_FACTOR,Rider_output_Name
0,0,0,0,0,0,0,0,0,0,0,0,NA,,,NA,
Endowment_basic_plan_R,3,Life,R,primaryInsured,basic plan,primaryInsured Rider,,fibr,,,,PL3_2     ,,basic_plan+fpur+fdtr+fibr,NA,Basic Sum Assured
Endowment_fpur,3,Life,R,primaryInsured,fpur,Rider 1,,,,1*basic_plan,6*basic_plan,FPB       ,,,NA,Family Protection (Loss of Life)
Endowment_ider,3,Life,R,primaryInsured,ider,Rider 2,fdtr,fdcr,,0.5*basic_plan,7*basic_plan,FDB       ,,,NA,Family Digasiri Plus (36 Critical Illnesses)
Endowment_fdtr,3,Life,R,primaryInsured,fdtr,Rider 3,ider,,N,1*ider,1*ider,NA,Load Default Value of IDER ,,NA,
Endowment_fdcr,3,Life,R,primaryInsured,fdcr,Rider 4,ider,,,100000,1*ider,CCCR      ,,,NA,Extra Cover for Cancer (At diagnosis of Cancer)
Endowment_adbr,3,Life,R,primaryInsured,adbr,Rider 5,pdbr::toar::tosr,,,1*basic_plan,(basic_plan+fpur)*2,ADB       ,,,NA,Accidental Death (Additional Amount on Accidental Death)
Endowment_pdbr,3,Life,R,primaryInsured,pdbr,Rider 6,adbr::toar::tosr,,,100000,0.5*toar,CPDB,,,NA,Partial Permanent Disability (PDB)
Endowment_toar,3,Life,R,primaryInsured,toar,Rider 7,adbr::pdbr::tosr,,,1*basic_plan,10*basic_plan| 2*TLR<basic_plan+fpur+fdtr+fibr>,TPDA      ,TLR = 003R+FPUR+FDTR+FIBR,,NA,Total Permanent Disability Accident (Monthly Income for 10 years)
Endowment_tosr,3,Life,R,primaryInsured,tosr,Rider 8,adbr::pdbr::toar,,,1*toar,1*toar,TPDS      ,,,NA,Total Permanent Disability Sickness (Monthly Income for 10 years)
Endowment_hcer,3,Life,R,primaryInsured,hcer,Rider 9,,,,1000,2 %TLR<basic_plan+fpur+fdtr+fibr>,HCB_N     ,TLR = 003R+FPUR+FDTR+FIBR,,NA,Hospital Cash (Per day hospitalization benefit)
Endowment_cmer,3,Life,R,primaryInsured,cmer,Rider 10,,,,100000,50 %TLR <basic_plan+fpur+fdtr+fibr>,CMM,0,,NA,Major Surgery (526 list of Surgeries)
Endowment_fibr,3,Life,R,primaryInsured,fibr,Rider 11,,basic_plan,,1*basic_plan,6*basic_plan,FIB,Should be multiple of 003R,,NA,Family Income Benefit (An Yearly Income for 10 Years)
Endowment_horr,3,Life,R,primaryInsured,horr,Rider 12,,,,200000,50%TLR<basic_plan+fpur+fdtr+fibr>,HSB,Refer Plan & Term Matri*,,NA,Health Support Plus (Hospital Bill reimbursement)
Endowment_yrbr,3,Life,R,spouseInsured,yrbr,primaryInsured Rider,,yfir,,100000,1*basic_plan ,FPB       ,Should not e*ceed primaryInsured Life Rider Amounts, YRBR+YFPR+YFTR+YFIR,NA,Yugadivi
Endowment_yfpr,3,Life,R,spouseInsured,yfpr,Rider 1,,,,1*yrbr,6*yrbr,FIB,Should be multiple of YRBR,,NA,Family Protection (Loss of Life)
Endowment_yier,3,Life,R,spouseInsured,yier,Rider 2,yftr,,,0.5*yrbr,7*yrbr,FDB       ,0,0,NA,Family Digasiri Plus (36 Critical Illnesses)
Endowment_yftr,3,Life,R,spouseInsured,yftr,Rider 3,yier,,N,1*yier,1*yier,NA,Load Default Value of YIER,,NA,
Endowment_yfcr,3,Life,R,spouseInsured,yfcr,Rider 4,yier,,,100000,1*yier,CCCR      ,,,NA,Extra Cover for Cancer (At diagnosis of Cancer)
Endowment_yadr,3,Life,R,spouseInsured,yadr,Rider 5,ypdr::yoar,,,1*yrbr,(yrbr + yfpr)*2,ADB       ,,,NA,Accidental Death (Additional Amount on Accidental Death)
Endowment_ypdr,3,Life,R,spouseInsured,ypdr,Rider 6,yadr,,,100000,0.5*yoar,CPDB,,,NA,Partial & Permanent Disability (PDB)
Endowment_yoar,3,Life,R,spouseInsured,yoar,Rider 7,yadr,,,1*yrbr,10* yrbr|2*TLR< yrbr+yfpr+yftr+yfir>,TPDA      ,,,NA,Total & Permanent Disability - Accident (Monthly Income for 10 years)
Endowment_yosr,3,Life,R,spouseInsured,yosr,Rider 8,yoar,,,1*yoar,1*yoar,TPDS      ,,,NA,Total & Permanent Disability - Sickness (Monthly Income for 10 years)
Endowment_yher,3,Life,R,spouseInsured,yher,Rider 9,,,,1000,2 %TLR< yrbr+yfpr+yftr+yfir>,HCB_N     ,,,NA,Ceylinco Life Hospital Cash Plus
Endowment_ymer,3,Life,R,spouseInsured,ymer,Rider 10,,,,100000,50 %TLR< yrbr+yfpr+yftr+yfir>,CMM,0,0,NA,Major Surgery (526 list of Surgeries)
Endowment_yfir,3,Life,R,spouseInsured,yfir,Rider 11,,yrbr,,1*yrbr,6*yrbr,FIB,Should be multiple of YRBR,,NA,Family Income Benefit (An Yearly Income for 10 Years)
Endowment_yhor,3,Life,R,spouseInsured,yhor,Rider 12,,,,200000,50%TLR< yrbr+yfpr+yftr+yfir>,HSB,Refer Plan & Term Matri*,,NA,Health Support Plus (Hospital Bill reimbursement)
Endowment_child1_zier,3,Life,R,child1,zier,Rider 1,child2_zier::child3_zier::child4_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Endowment_child1_zher,3,Life,R,child1,zher,Rider 2,child2_zher::child3_zher::child4_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Endowment_child1_zmer,3,Life,R,child1,zmer,Rider 3,child2_zmer::child3_zmer::child4_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Endowment_child1_zhor,3,Life,R,child1,zhor,Rider 4,child2_zhor::child3_zhor::child4_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Endowment_child2_zier,3,Life,R,child2,zier,Rider 1,child1_zier::child3_zier::child4_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Endowment_child2_zher,3,Life,R,child2,zher,Rider 2,child1_zher::child3_zher::child4_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Endowment_child2_zmer,3,Life,R,child2,zmer,Rider 3,child1_zmer::child3_zmer::child4_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Endowment_child2_zhor,3,Life,R,child2,zhor,Rider 4,child1_zhor::child3_zhor::child4_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Endowment_child3_zier,3,Life,R,child3,zier,Rider 1,child1_zier::child2_zier::child4_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Endowment_child3_zher,3,Life,R,child3,zher,Rider 2,child1_zher::child2_zher::child4_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Endowment_child3_zmer,3,Life,R,child3,zmer,Rider 3,child1_zmer::child2_zmer::child4_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Endowment_child3_zhor,3,Life,R,child3,zhor,Rider 4,child1_zhor::child2_zhor::child4_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Endowment_child4_zier,3,Life,R,child4,zier,Rider 1,child1_zier::child2_zier::child3_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Endowment_child4_zher,3,Life,R,child4,zher,Rider 2,child1_zher::child2_zher::child3_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Endowment_child4_zmer,3,Life,R,child4,zmer,Rider 3,child1_zmer::child2_zmer::child3_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Endowment_child4_zhor,3,Life,R,child4,zhor,Rider 4,child1_zhor::child2_zhor::child3_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Endowment_child5_zier,3,Life,R,child5,zier,Rider 1,child1_zier::child2_zier::child3_zier::child4_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Endowment_child5_zher,3,Life,R,child5,zher,Rider 2,child1_zher::child2_zher::child3_zher::child4_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Endowment_child5_zmer,3,Life,R,child5,zmer,Rider 3,child1_zmer::child2_zmer::child3_zmer::child4_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Endowment_child5_zhor,3,Life,R,child5,zhor,Rider 4,child1_zhor::child2_zhor::child3_zhor::child4_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Endowment_basic_plan_S,3,Life,S,primaryInsured,003s,primaryInsured Rider,,fibs,,,,PL3_2     ,,TLR = 003S+FPUS+FDTS+FIBS,SFC,
Endowment_fpus,3,Life,S,primaryInsured,fpus,Rider 1,,,,1*basic_plan,6*basic_plan,FPB       ,,,SFC,Family Protection (Loss of Life)
Endowment_ides,3,Life,S,primaryInsured,ides,Rider 2,fdts,,,0.5*basic_plan,7*basic_plan,FDB       ,0,0,SFC,Family Digasiri Plus (36 Critical Illnesses)
Endowment_fdts,3,Life,S,primaryInsured,fdts,Rider 3,ides,,N,1*ides,1*ides,NA,Load Default Value of IDES,,SFC,
Endowment_fdcs,3,Life,S,primaryInsured,fdcs,Rider 4,,ides,,100000,1*ides,CCCR      ,,,SFC,Extra Cover for Cancer (At diagnosis of Cancer)
Endowment_adbs,3,Life,S,primaryInsured,adbs,Rider 5,pdbs::toas,,,1*basic_plan,(basic_plan + fpus)*2,ADB       ,,,SFC,Accidental Death (Additional Amount on Accidental Death)
Endowment_pdbs,3,Life,S,primaryInsured,pdbs,Rider 6,adbs,,,100000,0.5*toas ,CPDB,,,SFC,Partial & Permanent Disability (PDB)
Endowment_toas,3,Life,S,primaryInsured,toas,Rider 7,adbs::toss,,,1*basic_plan,10* basic_plan|2*TLR<basic_plan+fpus_fdts+fibs>,TPDA      ,,,SFC,Total & Permanent Disability - Accident (Monthly Income for 10 years)
Endowment_toss,3,Life,S,primaryInsured,toss,Rider 8,toas,,,1*toas,1*toas,TPDS      ,,,SFC,Total & Permanent Disability - Sickness (Monthly Income for 10 years)
Endowment_fibs,3,Life,S,primaryInsured,fibs,Rider 11,,003S -O,,1*basic_plan,6*basic_plan,FIB,Should be multiple of 003S,,SFC,Family Income Benefit (An Yearly Income for 10 Years)
Endowment_yrbs,3,Life,S,spouseInsured,yrbs,primaryInsured Rider,,,,100000,1*basic_plan,FPB       ,Should not exceed primaryInsured Life Rider Amounts,TLR = YRBS+YFPS+YFTS+YFIS,SFC,
Endowment_yfps,3,Life,S,spouseInsured,yfps,Rider 1,,,,1*yrbs,6*yrbs,FIB,Should be multiple of YRBS,,SFC,Family Protection (Loss of Life)
Endowment_yies,3,Life,S,spouseInsured,yies,Rider 2,yfts,,,0.5*yrbs,yrbs *7  ,FDB       ,0,0,SFC,Family Digasiri Plus (36 Critical Illnesses)
Endowment_yfts,3,Life,S,spouseInsured,yfts,Rider 3,yies,,N,1*yies,1*yies,NA,Load Default Value of YIES,,SFC,
Endowment_yfcs,3,Life,S,spouseInsured,yfcs,Rider 4,,yies,,100000,1*yies,CCCR      ,,,SFC,Extra Cover for Cancer (At diagnosis of Cancer)
Endowment_yads,3,Life,S,spouseInsured,yads,Rider 5,ypds::yoas,,,1*yrbs,(yrbs + yfps)*2,ADB       ,,,SFC,Accidental Death (Additional Amount on Accidental Death)
Endowment_ypds,3,Life,S,spouseInsured,ypds,Rider 6,yads,,,100000,0.5*yoas ,CPDB,,,SFC,Partial & Permanent Disability (PDB)
Endowment_yoas,3,Life,S,spouseInsured,yoas,Rider 7,yads::yoss,,,1*yrbs,10* yrbs|2*TLR<yrbs+yfps+yfts+yfis>,TPDA      ,,,SFC,Total & Permanent Disability - Accident (Monthly Income for 10 years)
Endowment_yoss,3,Life,S,spouseInsured,yoss,Rider 8,yads,,,1*yoas,1*yoas,TPDS      ,,,SFC,
Endowment_yfis,3,Life,S,spouseInsured,yfis,Rider 11,,yrbs,,1*yrbs,6*yrbs,FIB,Should be multiple of YRBS,,SFC,Family Income Benefit (An Yearly Income for 10 Years)
Endowment_child1_zies,3,Life,S,child1,zies,Rider 1,child2_zies::child3_zies::child4_zies::child5_zies,,,200000,1*ides|yies,FDBC      ,Multiple Child ZIES benefit should be Equal,,SFC,Family Digasiri Plus (36 Critical Illnesses)
Endowment_child2_zies,3,Life,S,child2,zies,Rider 1,child1_zies::child3_zies::child4_zies::child5_zies,,,200000,1*ides|yies,FDBC      ,Multiple Child ZIES benefit should be Equal,,SFC,Family Digasiri Plus (36 Critical Illnesses)
Endowment_child3_zies,3,Life,S,child3,zies,Rider 1,child1_zies::child2_zies::child4_zies::child5_zies,,,200000,1*ides|yies,FDBC      ,Multiple Child ZIES benefit should be Equal,,SFC,Family Digasiri Plus (36 Critical Illnesses)
Endowment_child4_zies,3,Life,S,child4,zies,Rider 1,child1_zies::child2_zies::child3_zies::child5_zies,,,200000,1*ides|yies,FDBC      ,Multiple Child ZIES benefit should be Equal,,SFC,Family Digasiri Plus (36 Critical Illnesses)
Endowment_child5_zies,3,Life,S,child5,zies,Rider 1,child1_zies::child2_zies::child3_zies::child4_zies,,,200000,1*ides|yies,FDBC      ,Multiple Child ZIES benefit should be Equal,,SFC,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_basic_plan_R,6,Life,R,primaryInsured,006r,primaryInsured Rider,,fibr,,,,PL6_2     ,,basic_plan+fpur+fdtr+fibr,NA,
Advance_Payment_fpur,6,Life,R,primaryInsured,fpur,Rider 1,,,,1*basic_plan,6*basic_plan,FPB       ,,,NA,Family Protection (Loss of Life)
Advance_Payment_ider,6,Life,R,primaryInsured,ider,Rider 2,fdtr,fdcr,,0.5*basic_plan,7*basic_plan,FDB       ,,,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_fdtr,6,Life,R,primaryInsured,fdtr,Rider 3,ider,,N,1*ider,1*ider,NA,Load Default Value of IDER ,,NA,
Advance_Payment_fdcr,6,Life,R,primaryInsured,fdcr,Rider 4,ider,,,100000,1*ider,CCCR      ,,,NA,Extra Cover for Cancer (At diagnosis of Cancer)
Advance_Payment_adbr,6,Life,R,primaryInsured,adbr,Rider 5,pdbr::toar::tosr,,,1*basic_plan,(basic_plan+fpur)*2,ADB       ,,,NA,Accidental Death (Additional Amount on Accidental Death)
Advance_Payment_pdbr,6,Life,R,primaryInsured,pdbr,Rider 6,adbr::toar::tosr,,,100000,0.5*toar,CPDB,,,NA,Partial Permanent Disability (PDB)
Advance_Payment_toar,6,Life,R,primaryInsured,toar,Rider 7,adbr::pdbr::tosr,,,1*basic_plan,10*basic_plan| 2*TLR<basic_plan+fpur+fdtr+fibr>,TPDA      ,TLR = 003R+FPUR+FDTR+FIBR,,NA,Total Permanent Disability Accident (Monthly Income for 10 years)
Advance_Payment_tosr,6,Life,R,primaryInsured,tosr,Rider 8,adbr::pdbr::toar,,,1*toar,1*toar,TPDS      ,,,NA,Total Permanent Disability Sickness (Monthly Income for 10 years)
Advance_Payment_hcer,6,Life,R,primaryInsured,hcer,Rider 9,,,,1000,2 %TLR<basic_plan+fpur+fdtr+fibr>,HCB_N     ,TLR = 003R+FPUR+FDTR+FIBR,,NA,Hospital Cash (Per day hospitalization benefit)
Advance_Payment_cmer,6,Life,R,primaryInsured,cmer,Rider 10,,,,100000,50 %TLR <basic_plan+fpur+fdtr+fibr>,CMM,0,,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_fibr,6,Life,R,primaryInsured,fibr,Rider 11,,basic_plan,,1*basic_plan,6*basic_plan,FIB,Should be multiple of 003R,,NA,Family Income Benefit (An Yearly Income for 10 Years)
Advance_Payment_horr,6,Life,R,primaryInsured,horr,Rider 12,,,,200000,50%TLR<basic_plan+fpur+fdtr+fibr>,HSB,Refer Plan & Term Matri*,,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_yrbr,6,Life,R,spouseInsured,yrbr,primaryInsured Rider,,yfir,,100000,1*basic_plan ,FPB       ,Should not e*ceed primaryInsured Life Rider Amounts, YRBR+YFPR+YFTR+YFIR,NA,Yugadivi
Advance_Payment_yfpr,6,Life,R,spouseInsured,yfpr,Rider 1,,,,1*yrbr,6*yrbr,FIB,Should be multiple of YRBR,,NA,Family Protection (Loss of Life)
Advance_Payment_yier,6,Life,R,spouseInsured,yier,Rider 2,yftr,,,0.5*yrbr,7*yrbr,FDB       ,0,0,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_yftr,6,Life,R,spouseInsured,yftr,Rider 3,yier,,N,1*yier,1*yier,NA,Load Default Value of YIER,,NA,
Advance_Payment_yfcr,6,Life,R,spouseInsured,yfcr,Rider 4,yier,,,100000,1*yier,CCCR      ,,,NA,Extra Cover for Cancer (At diagnosis of Cancer)
Advance_Payment_yadr,6,Life,R,spouseInsured,yadr,Rider 5,ypdr::yoar,,,1*yrbr,(yrbr + yfpr)*2,ADB       ,,,NA,Accidental Death (Additional Amount on Accidental Death)
Advance_Payment_ypdr,6,Life,R,spouseInsured,ypdr,Rider 6,yadr,,,100000,0.5*yoar,CPDB,,,NA,Partial & Permanent Disability (PDB)
Advance_Payment_yoar,6,Life,R,spouseInsured,yoar,Rider 7,yadr,,,1*yrbr,10* yrbr|2*TLR< yrbr+yfpr+yftr+yfir>,TPDA      ,,,NA,Total & Permanent Disability - Accident (Monthly Income for 10 years)
Advance_Payment_yosr,6,Life,R,spouseInsured,yosr,Rider 8,yoar,,,1*yoar,1*yoar,TPDS      ,,,NA,Total & Permanent Disability - Sickness (Monthly Income for 10 years)
Advance_Payment_yher,6,Life,R,spouseInsured,yher,Rider 9,,,,1000,2 %TLR< yrbr+yfpr+yftr+yfir>,HCB_N     ,,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_ymer,6,Life,R,spouseInsured,ymer,Rider 10,,,,100000,50 %TLR< yrbr+yfpr+yftr+yfir>,CMM,0,0,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_yfir,6,Life,R,spouseInsured,yfir,Rider 11,,yrbr,,1*yrbr,6*yrbr,FIB,Should be multiple of YRBR,,NA,Family Income Benefit (An Yearly Income for 10 Years)
Advance_Payment_yhor,6,Life,R,spouseInsured,yhor,Rider 12,,,,200000,50%TLR< yrbr+yfpr+yftr+yfir>,HSB,Refer Plan & Term Matri*,,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_child1_zier,6,Life,R,child1,zier,Rider 1,child2_zier::child3_zier::child4_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_child1_zher,6,Life,R,child1,zher,Rider 2,child2_zher::child3_zher::child4_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_child1_zmer,6,Life,R,child1,zmer,Rider 3,child2_zmer::child3_zmer::child4_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_child1_zhor,6,Life,R,child1,zhor,Rider 4,child2_zhor::child3_zhor::child4_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_child2_zier,6,Life,R,child2,zier,Rider 1,child1_zier::child3_zier::child4_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_child2_zher,6,Life,R,child2,zher,Rider 2,child1_zher::child3_zher::child4_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_child2_zmer,6,Life,R,child2,zmer,Rider 3,child1_zmer::child3_zmer::child4_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_child2_zhor,6,Life,R,child2,zhor,Rider 4,child1_zhor::child3_zhor::child4_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_child3_zier,6,Life,R,child3,zier,Rider 1,child1_zier::child2_zier::child4_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_child3_zher,6,Life,R,child3,zher,Rider 2,child1_zher::child2_zher::child4_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_child3_zmer,6,Life,R,child3,zmer,Rider 3,child1_zmer::child2_zmer::child4_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_child3_zhor,6,Life,R,child3,zhor,Rider 4,child1_zhor::child2_zhor::child4_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_child4_zier,6,Life,R,child4,zier,Rider 1,child1_zier::child2_zier::child3_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_child4_zher,6,Life,R,child4,zher,Rider 2,child1_zher::child2_zher::child3_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_child4_zmer,6,Life,R,child4,zmer,Rider 3,child1_zmer::child2_zmer::child3_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_child4_zhor,6,Life,R,child4,zhor,Rider 4,child1_zhor::child2_zhor::child3_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_child5_zier,6,Life,R,child5,zier,Rider 1,child1_zier::child2_zier::child3_zier::child4_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_child5_zher,6,Life,R,child5,zher,Rider 2,child1_zher::child2_zher::child3_zher::child4_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_child5_zmer,6,Life,R,child5,zmer,Rider 3,child1_zmer::child2_zmer::child3_zmer::child4_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_child5_zhor,6,Life,R,child5,zhor,Rider 4,child1_zhor::child2_zhor::child3_zhor::child4_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_basic_plan_S,6,Life,S,primaryInsured,006s,primaryInsured Rider,,fibs,,,,PL6_2     ,,TLR = 003S+FPUS+FDTS+FIBS,SFC,
Advance_Payment_fpus,6,Life,S,primaryInsured,fpus,Rider 1,,,,1*basic_plan,6*basic_plan,FPB       ,,,SFC,Family Protection (Loss of Life)
